date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.60d.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-adam-ruffner)
20:00:09	41099/41099	---M--	200	added ('OK')	image/jpeg	etag:%22509c4d4a485fd21:0%22	http://www.gibdist.net/uploaded/Athletics/john1.jpg	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/Athletics/john1.jpg	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/6-john-deleon)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.60f.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-kirk-willie-williams)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.610.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-kirk-willie-williams)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.611.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-tracy-richardson)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.612.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-tracy-richardson)
20:00:10	27404/27404	---M--	200	added ('OK')	image/jpeg	etag:%22d01e194a485fd21:0%22	http://www.gibdist.net/uploaded/Athletics/john2.jpg	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/Athletics/john2.jpg	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/6-john-deleon)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.614.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/12-kelly-mousseau)
20:00:10	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.615.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/12-kelly-mousseau)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.616.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/12-kelly-scheffler)
